league,season,team,player,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2122,Arsenal,Aaron Ramsdale,GK,34,3060,0,0.0,0,0.0,0,0.0,0,0,1,0,3.995810028165579,3.995810028165579
ENG-Premier League,2122,Arsenal,Ainsley Maitland-Niles,M S,8,251,0,0.0297200987115502,0,0.0297200987115502,0,0.2273624017834663,2,3,0,0,0.6360606998205185,0.3890687078237533
ENG-Premier League,2122,Arsenal,Albert Sambi Lokonga,M S,19,1125,0,0.585317600518465,0,0.585317600518465,0,0.8354285042732954,20,18,5,0,5.447862323373556,4.692085664719343
ENG-Premier League,2122,Arsenal,Alexandre Lacazette,F M S,30,1800,4,7.625774389132857,2,5.342271422967315,7,3.2550142742693424,46,29,0,0,9.149895284324884,3.0975794158875942
ENG-Premier League,2122,Arsenal,Ben White,D,32,2880,0,0.6877354960888624,0,0.6877354960888624,0,1.1921783965080976,12,13,3,0,10.001042181625962,9.3364445772022
ENG-Premier League,2122,Arsenal,Bernd Leno,GK,4,360,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1893833950161934,0.1893833950161934
ENG-Premier League,2122,Arsenal,Bukayo Saka,F M S,38,3034,11,9.905906103551388,9,8.383569121360779,7,7.6313808765262365,97,68,6,0,19.44989830069244,9.058580647222698
ENG-Premier League,2122,Arsenal,Calum Chambers,D M S,13,1001,1,0.2656341008841991,1,0.2656341008841991,0,0.1769321002066135,5,3,1,0,2.581540483981371,2.4068506844341755
ENG-Premier League,2122,Arsenal,Cédric Soares,D S,21,1483,1,0.489683398976922,1,0.489683398976922,1,1.5193457724526525,12,18,3,0,5.350092962384224,4.619295628741384
ENG-Premier League,2122,Arsenal,Eddie Nketiah,F S,21,803,5,4.993681591004133,5,4.993681591004133,1,1.6652061231434343,28,13,3,0,7.677356168627739,2.160008793696761
ENG-Premier League,2122,Arsenal,Emile Smith-Rowe,F M S,33,1928,10,5.36384779214859,10,5.36384779214859,2,3.033005226403475,40,30,1,0,10.874114144593475,4.788454380817711
ENG-Premier League,2122,Arsenal,Folarin Balogun,F S,2,69,0,0.1574549973011016,0,0.1574549973011016,0,0.0,3,0,0,0,0.1574549973011016,0.0
ENG-Premier League,2122,Arsenal,Gabriel,D,35,3075,5,3.5427271053195,5,3.5427271053195,0,0.2485223039984703,29,8,6,1,11.80418819282204,11.412368149496617
