league,season,team,players_used,90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,penalties_scored,penalties_att
ENG-Premier League,2122,Arsenal,27,38,60,581,186,32.0,15.29,4.89,0.09,0.3,5,8
ENG-Premier League,2122,Chelsea,26,38,75,583,200,34.3,15.34,5.26,0.11,0.34,8,9
ENG-Premier League,2122,Liverpool,27,38,94,721,237,32.9,18.97,6.24,0.12,0.37,7,8
ENG-Premier League,2122,Manchester City,26,38,96,704,237,33.7,18.53,6.24,0.13,0.38,7,9
ENG-Premier League,2122,Manchester Utd,29,38,56,503,179,35.6,13.24,4.71,0.11,0.3,3,5
ENG-Premier League,2122,Tottenham Hotspur,25,38,63,486,185,38.1,12.79,4.87,0.12,0.31,5,5
ENG-Premier League,2223,Arsenal,26,38,84,589,194,32.9,15.5,5.11,0.14,0.42,3,4
ENG-Premier League,2223,Chelsea,32,38,37,481,151,31.4,12.66,3.97,0.07,0.23,3,3
ENG-Premier League,2223,Liverpool,28,38,71,601,203,33.8,15.82,5.34,0.11,0.34,2,4
ENG-Premier League,2223,Manchester City,24,38,92,590,205,34.7,15.53,5.39,0.14,0.4,9,10
ENG-Premier League,2223,Manchester Utd,26,38,56,590,206,34.9,15.53,5.42,0.09,0.26,3,3
ENG-Premier League,2223,Tottenham Hotspur,29,38,68,512,186,36.3,13.47,4.89,0.12,0.34,5,6
ENG-Premier League,2324,Arsenal,25,38,86,647,209,32.3,17.03,5.5,0.12,0.36,10,10
ENG-Premier League,2324,Chelsea,32,38,76,537,194,36.1,14.13,5.11,0.12,0.34,11,12
ENG-Premier League,2324,Liverpool,30,38,80,781,263,33.7,20.55,6.92,0.09,0.28,6,9
ENG-Premier League,2324,Manchester City,25,38,94,683,264,38.7,17.97,6.95,0.12,0.32,9,10
ENG-Premier League,2324,Manchester Utd,31,38,57,543,182,33.5,14.29,4.79,0.09,0.28,6,7
ENG-Premier League,2324,Tottenham Hotspur,29,38,69,582,207,35.6,15.32,5.45,0.12,0.32,2,2
ENG-Premier League,2425,Arsenal,25,38,67,544,178,32.7,14.32,4.68,0.12,0.37,2,2
ENG-Premier League,2425,Chelsea,29,38,61,590,203,34.4,15.53,5.34,0.1,0.28,4,5
ENG-Premier League,2425,Liverpool,24,38,85,639,215,33.6,16.82,5.66,0.12,0.35,9,9
ENG-Premier League,2425,Manchester City,30,38,71,603,208,34.5,15.87,5.47,0.11,0.33,3,4
ENG-Premier League,2425,Manchester Utd,31,38,42,524,168,32.1,13.79,4.42,0.07,0.23,4,4
ENG-Premier League,2425,Tottenham Hotspur,31,38,61,493,177,35.9,12.97,4.66,0.12,0.33,3,4
ENG-Premier League,2526,Arsenal,24,35,63,507,172,33.9,14.49,4.91,0.12,0.34,4,4
ENG-Premier League,2526,Chelsea,29,35,53,486,156,32.1,13.89,4.46,0.09,0.29,7,8
ENG-Premier League,2526,Liverpool,24,35,57,540,159,29.4,15.43,4.54,0.1,0.35,1,2
ENG-Premier League,2526,Manchester City,27,34,66,525,183,34.9,15.44,5.38,0.12,0.34,3,4
ENG-Premier League,2526,Manchester Utd,27,35,60,544,199,36.6,15.54,5.69,0.1,0.28,4,6
ENG-Premier League,2526,Tottenham Hotspur,30,35,44,390,138,35.4,11.14,3.94,0.11,0.32,0,0
