league,season,team,players_used,avg_age,possession,matches_played,starts,minutes,90s,goals,assists,goals_assists,goals_no_pen,penalties_scored,penalties_att,yellow_cards,red_cards,goals_per90,assists_per90,goals_assists_per90,goals_no_pen_per90,goals_assists_no_pen_per90
ENG-Premier League,2122,Arsenal,27,24.4,52.8,38,418,3420,38,60,41,101,55,5,8,67,4,1.58,1.08,2.66,1.45,2.53
ENG-Premier League,2122,Chelsea,26,27.4,61.8,38,418,3420,38,75,52,127,67,8,9,63,1,1.97,1.37,3.34,1.76,3.13
ENG-Premier League,2122,Liverpool,27,27.7,62.7,38,418,3420,38,94,71,165,87,7,8,50,1,2.47,1.87,4.34,2.29,4.16
ENG-Premier League,2122,Manchester City,26,27.0,67.9,38,418,3420,38,96,63,159,89,7,9,42,1,2.53,1.66,4.18,2.34,4.0
ENG-Premier League,2122,Manchester Utd,29,27.2,52.7,38,418,3420,38,56,46,102,53,3,5,77,2,1.47,1.21,2.68,1.39,2.61
ENG-Premier League,2122,Tottenham Hotspur,25,26.5,51.8,38,418,3420,38,63,50,113,58,5,5,69,1,1.66,1.32,2.97,1.53,2.84
ENG-Premier League,2223,Arsenal,26,24.7,59.3,38,418,3420,38,84,64,148,81,3,4,51,0,2.21,1.68,3.89,2.13,3.82
ENG-Premier League,2223,Chelsea,32,26.3,58.7,38,418,3420,38,37,27,64,34,3,3,81,3,0.97,0.71,1.68,0.89,1.61
ENG-Premier League,2223,Liverpool,28,27.4,60.8,38,418,3420,38,71,58,129,69,2,4,57,1,1.87,1.53,3.39,1.82,3.34
ENG-Premier League,2223,Manchester City,24,27.2,64.7,38,418,3420,38,92,69,161,83,9,10,44,1,2.42,1.82,4.24,2.18,4.0
ENG-Premier League,2223,Manchester Utd,26,26.9,53.7,38,418,3420,38,56,42,98,53,3,3,78,2,1.47,1.11,2.58,1.39,2.5
ENG-Premier League,2223,Tottenham Hotspur,29,27.6,50.0,38,418,3420,38,68,46,114,63,5,6,77,3,1.79,1.21,3.0,1.66,2.87
ENG-Premier League,2324,Arsenal,25,25.0,58.2,38,418,3420,38,86,62,148,76,10,10,64,2,2.26,1.63,3.89,2.0,3.63
ENG-Premier League,2324,Chelsea,32,24.2,58.6,38,418,3420,38,76,51,127,65,11,12,109,4,2.0,1.34,3.34,1.71,3.05
ENG-Premier League,2324,Liverpool,30,26.3,61.3,38,418,3420,38,80,60,140,74,6,9,69,5,2.11,1.58,3.68,1.95,3.53
ENG-Premier League,2324,Manchester City,25,26.6,65.2,38,418,3420,38,94,69,163,85,9,10,53,2,2.47,1.82,4.29,2.24,4.05
ENG-Premier League,2324,Manchester Utd,31,26.1,50.6,38,418,3420,38,57,36,93,51,6,7,83,1,1.5,0.95,2.45,1.34,2.29
ENG-Premier League,2324,Tottenham Hotspur,29,25.2,61.6,38,418,3420,38,69,58,127,67,2,2,92,4,1.82,1.53,3.34,1.76,3.29
ENG-Premier League,2425,Arsenal,25,25.8,56.9,38,418,3420,38,67,55,122,65,2,2,70,6,1.76,1.45,3.21,1.71,3.16
ENG-Premier League,2425,Chelsea,29,23.7,57.1,38,418,3420,38,61,47,108,57,4,5,101,2,1.61,1.24,2.84,1.5,2.74
ENG-Premier League,2425,Liverpool,24,27.2,57.7,38,418,3420,38,85,65,150,76,9,9,67,3,2.24,1.71,3.95,2.0,3.71
ENG-Premier League,2425,Manchester City,30,26.8,61.3,38,418,3420,38,71,51,122,68,3,4,59,2,1.87,1.34,3.21,1.79,3.13
ENG-Premier League,2425,Manchester Utd,31,25.5,53.5,38,418,3420,38,42,29,71,38,4,4,86,3,1.11,0.76,1.87,1.0,1.76
ENG-Premier League,2425,Tottenham Hotspur,31,25.0,54.7,38,418,3420,38,61,47,108,58,3,4,72,1,1.61,1.24,2.84,1.53,2.76
ENG-Premier League,2526,Arsenal,24,26.8,56.0,35,385,3150,35,63,47,110,59,4,4,45,0,1.8,1.34,3.14,1.69,3.03
ENG-Premier League,2526,Chelsea,29,24.9,58.4,35,385,3150,35,53,36,89,46,7,8,85,7,1.51,1.03,2.54,1.31,2.34
ENG-Premier League,2526,Liverpool,24,27.4,59.7,35,385,3150,35,57,40,97,56,1,2,52,1,1.63,1.14,2.77,1.6,2.74
ENG-Premier League,2526,Manchester City,27,26.1,60.8,34,374,3060,34,66,53,119,63,3,4,60,0,1.94,1.56,3.5,1.85,3.41
ENG-Premier League,2526,Manchester Utd,27,26.8,52.2,35,385,3150,35,60,42,102,56,4,6,58,3,1.71,1.2,2.91,1.6,2.8
ENG-Premier League,2526,Tottenham Hotspur,30,26.1,50.1,35,385,3150,35,44,35,79,44,0,0,92,4,1.26,1.0,2.26,1.26,2.26
